time_s,raw,angle_deg,agc
0.0043,733.0000,64.4238,128.0000
0.0144,733.0000,64.4238,128.0000
0.0244,733.0000,64.4238,128.0000
0.0344,733.0000,64.4238,128.0000
0.0444,733.0000,64.4238,128.0000
0.0544,733.0000,64.4238,128.0000
0.0644,733.0000,64.4238,128.0000
0.0744,733.0000,64.4238,128.0000
0.0844,733.0000,64.4238,128.0000
0.0944,733.0000,64.4238,128.0000
0.1044,733.0000,64.4238,128.0000
0.1144,733.0000,64.4238,128.0000
0.1244,733.0000,64.4238,128.0000
0.1344,733.0000,64.4238,128.0000
0.1444,733.0000,64.4238,128.0000
0.1544,733.0000,64.4238,128.0000
0.1644,733.0000,64.4238,128.0000
0.1744,733.0000,64.4238,128.0000
0.1844,733.0000,64.4238,128.0000
0.1944,733.0000,64.4238,128.0000
0.2044,642.0000,56.4258,128.0000
0.2144,642.0000,56.4258,128.0000
0.2244,733.0000,64.4238,128.0000
0.2344,733.0000,64.4238,128.0000
0.2444,641.0000,56.3379,128.0000
0.2544,641.0000,56.3379,128.0000
0.2644,733.0000,64.4238,128.0000
0.2744,733.0000,64.4238,128.0000
0.2844,733.0000,64.4238,128.0000
0.2944,733.0000,64.4238,128.0000
0.3044,733.0000,64.4238,128.0000
0.3144,733.0000,64.4238,128.0000
0.3244,733.0000,64.4238,128.0000
0.3344,733.0000,64.4238,128.0000
0.3444,641.0000,56.3379,128.0000
0.3544,641.0000,56.3379,128.0000
0.3644,733.0000,64.4238,128.0000
0.3744,733.0000,64.4238,128.0000
0.3844,733.0000,64.4238,128.0000
0.3944,733.0000,64.4238,128.0000
0.4044,642.0000,56.4258,128.0000
0.4144,642.0000,56.4258,128.0000
0.4244,733.0000,64.4238,128.0000
0.4344,733.0000,64.4238,128.0000
0.4444,642.0000,56.4258,128.0000
0.4544,642.0000,56.4258,128.0000
0.4644,641.0000,56.3379,128.0000
0.4744,641.0000,56.3379,128.0000
0.4844,733.0000,64.4238,128.0000
0.4944,733.0000,64.4238,128.0000
0.5044,733.0000,64.4238,128.0000
0.5144,733.0000,64.4238,128.0000
0.5244,733.0000,64.4238,128.0000
0.5344,733.0000,64.4238,128.0000
0.5444,550.0000,48.3398,128.0000
0.5544,550.0000,48.3398,128.0000
0.5644,733.0000,64.4238,128.0000
0.5744,733.0000,64.4238,128.0000
0.5844,642.0000,56.4258,128.0000
0.5944,642.0000,56.4258,128.0000
0.6044,642.0000,56.4258,128.0000
0.6144,642.0000,56.4258,128.0000
0.6244,641.0000,56.3379,128.0000
0.6344,641.0000,56.3379,128.0000
0.6444,695.0000,61.0840,128.0000
0.6544,695.0000,61.0840,128.0000
0.6644,733.0000,64.4238,128.0000
0.6744,733.0000,64.4238,128.0000
0.6844,733.0000,64.4238,128.0000
0.6944,733.0000,64.4238,128.0000
0.7044,641.0000,56.3379,128.0000
0.7144,641.0000,56.3379,128.0000
0.7244,733.0000,64.4238,128.0000
0.7344,733.0000,64.4238,128.0000
0.7444,641.0000,56.3379,128.0000
0.7544,641.0000,56.3379,128.0000
0.7644,733.0000,64.4238,128.0000
0.7744,733.0000,64.4238,128.0000
0.7844,642.0000,56.4258,128.0000
0.7944,642.0000,56.4258,128.0000
0.8044,642.0000,56.4258,128.0000
0.8144,642.0000,56.4258,128.0000
0.8244,642.0000,56.4258,128.0000
0.8344,642.0000,56.4258,128.0000
0.8444,695.0000,61.0840,128.0000
0.8544,695.0000,61.0840,128.0000
0.8644,714.0000,62.7539,128.0000
0.8744,714.0000,62.7539,128.0000
0.8844,642.0000,56.4258,128.0000
0.8944,642.0000,56.4258,128.0000
0.9044,733.0000,64.4238,128.0000
0.9144,733.0000,64.4238,128.0000
0.9245,733.0000,64.4238,128.0000
0.9344,733.0000,64.4238,128.0000
0.9444,714.0000,62.7539,128.0000
0.9544,714.0000,62.7539,128.0000
0.9644,642.0000,56.4258,128.0000
0.9744,642.0000,56.4258,128.0000
0.9844,714.0000,62.7539,128.0000
0.9944,714.0000,62.7539,128.0000
1.0044,733.0000,64.4238,128.0000
1.0144,733.0000,64.4238,128.0000
1.0244,550.0000,48.3398,128.0000
1.0344,550.0000,48.3398,128.0000
1.0444,733.0000,64.4238,128.0000
1.0544,733.0000,64.4238,128.0000
1.0644,550.0000,48.3398,128.0000
1.0744,550.0000,48.3398,128.0000
1.0844,714.0000,62.7539,128.0000
1.0944,714.0000,62.7539,128.0000
1.1044,733.0000,64.4238,128.0000
1.1144,733.0000,64.4238,128.0000
1.1244,695.0000,61.0840,128.0000
1.1344,695.0000,61.0840,128.0000
1.1444,550.0000,48.3398,128.0000
1.1544,550.0000,48.3398,128.0000
1.1643,642.0000,56.4258,128.0000
1.1743,642.0000,56.4258,128.0000
1.1843,550.0000,48.3398,128.0000
1.1943,550.0000,48.3398,128.0000
1.2044,550.0000,48.3398,128.0000
1.2144,550.0000,48.3398,128.0000
1.2244,733.0000,64.4238,128.0000
1.2344,733.0000,64.4238,128.0000
1.2444,550.0000,48.3398,128.0000
1.2544,550.0000,48.3398,128.0000
1.2644,642.0000,56.4258,128.0000
1.2744,642.0000,56.4258,128.0000
1.2844,733.0000,64.4238,128.0000
1.2944,733.0000,64.4238,128.0000
1.3044,531.0000,46.6699,128.0000
1.3144,531.0000,46.6699,128.0000
1.3244,714.0000,62.7539,128.0000
1.3344,714.0000,62.7539,128.0000
1.3444,733.0000,64.4238,128.0000
1.3544,733.0000,64.4238,128.0000
1.3644,714.0000,62.7539,128.0000
1.3744,714.0000,62.7539,128.0000
1.3844,550.0000,48.3398,128.0000
1.3944,550.0000,48.3398,128.0000
1.4044,622.0000,54.6680,128.0000
1.4144,622.0000,54.6680,128.0000
1.4244,550.0000,48.3398,128.0000
1.4344,550.0000,48.3398,128.0000
1.4444,714.0000,62.7539,128.0000
1.4544,714.0000,62.7539,128.0000
1.4644,531.0000,46.6699,128.0000
1.4744,531.0000,46.6699,128.0000
1.4844,714.0000,62.7539,128.0000
1.4944,714.0000,62.7539,128.0000
1.5044,550.0000,48.3398,128.0000
1.5144,550.0000,48.3398,128.0000
1.5244,641.0000,56.3379,128.0000
1.5344,641.0000,56.3379,128.0000
1.5444,714.0000,62.7539,128.0000
1.5544,714.0000,62.7539,128.0000
1.5644,695.0000,61.0840,128.0000
1.5744,695.0000,61.0840,128.0000
1.5844,733.0000,64.4238,128.0000
1.5944,733.0000,64.4238,128.0000
1.6044,550.0000,48.3398,128.0000
1.6144,550.0000,48.3398,128.0000
1.6244,714.0000,62.7539,128.0000
1.6344,714.0000,62.7539,128.0000
1.6444,733.0000,64.4238,128.0000
1.6544,733.0000,64.4238,128.0000
1.6644,550.0000,48.3398,128.0000
1.6744,550.0000,48.3398,128.0000
1.6844,714.0000,62.7539,128.0000
1.6944,714.0000,62.7539,128.0000
1.7044,695.0000,61.0840,128.0000
1.7144,695.0000,61.0840,128.0000
1.7244,714.0000,62.7539,128.0000
1.7344,714.0000,62.7539,128.0000
1.7444,623.0000,54.7559,128.0000
1.7544,623.0000,54.7559,128.0000
1.7644,531.0000,46.6699,128.0000
1.7744,531.0000,46.6699,128.0000
1.7844,275.0000,24.1699,128.0000
1.7944,275.0000,24.1699,128.0000
1.8044,275.0000,24.1699,128.0000
1.8144,275.0000,24.1699,128.0000
1.8244,275.0000,24.1699,128.0000
1.8344,275.0000,24.1699,128.0000
1.8444,275.0000,24.1699,128.0000
1.8544,275.0000,24.1699,128.0000
1.8644,550.0000,48.3398,128.0000
1.8744,550.0000,48.3398,128.0000
1.8844,531.0000,46.6699,128.0000
1.8944,531.0000,46.6699,128.0000
1.9044,695.0000,61.0840,128.0000
1.9144,695.0000,61.0840,128.0000
1.9246,695.0000,61.0840,128.0000
1.9344,695.0000,61.0840,128.0000
1.9444,550.0000,48.3398,128.0000
1.9544,550.0000,48.3398,128.0000
1.9644,714.0000,62.7539,128.0000
1.9744,714.0000,62.7539,128.0000
1.9844,714.0000,62.7539,128.0000
1.9944,714.0000,62.7539,128.0000
2.0044,458.0000,40.2539,128.0000
2.0144,458.0000,40.2539,128.0000
2.0244,641.0000,56.3379,128.0000
2.0344,641.0000,56.3379,128.0000
2.0444,531.0000,46.6699,128.0000
2.0544,531.0000,46.6699,128.0000
2.0644,420.0000,36.9141,128.0000
2.0744,420.0000,36.9141,128.0000
2.0844,420.0000,36.9141,128.0000
2.0944,420.0000,36.9141,128.0000
2.1044,714.0000,62.7539,128.0000
2.1144,714.0000,62.7539,128.0000
2.1244,641.0000,56.3379,128.0000
2.1344,641.0000,56.3379,128.0000
2.1444,733.0000,64.4238,128.0000
2.1544,733.0000,64.4238,128.0000
2.1644,458.0000,40.2539,128.0000
2.1744,458.0000,40.2539,128.0000
2.1844,641.0000,56.3379,128.0000
