time_s,raw,angle_deg
0.000,3363,295.576
0.050,3546,311.660
0.100,3546,311.660
0.150,3473,305.244
0.200,3473,305.244
0.250,3381,297.158
0.300,3381,297.158
0.350,3363,295.576
0.400,3363,295.576
0.450,3473,305.244
0.500,3473,305.244
0.550,3381,297.158
0.600,3381,297.158
0.650,3454,303.574
0.700,3454,303.574
0.750,3473,305.244
0.800,3473,305.244
0.850,3546,311.660
0.900,3546,311.660
0.950,3473,305.244
1.000,3473,305.244
1.050,3546,311.660
1.100,3546,311.660
1.150,3382,297.246
1.200,3382,297.246
1.250,3546,311.660
1.300,3546,311.660
1.350,3381,297.158
1.400,3381,297.158
1.450,3546,311.660
1.500,3546,311.660
1.550,3546,311.660
1.600,3546,311.660
1.650,3546,311.660
1.700,3546,311.660
1.750,3400,298.828
1.800,3400,298.828
1.850,3455,303.662
1.900,3455,303.662
1.950,3363,295.576
2.000,3363,295.576
2.050,3363,295.576
2.100,3363,295.576
2.150,3363,295.576
2.200,3363,295.576
2.250,3362,295.488
2.300,3362,295.488
2.350,3363,295.576
2.400,3363,295.576
2.450,3363,295.576
2.500,3363,295.576
2.550,3363,295.576
2.600,3363,295.576
2.650,3363,295.576
2.700,3363,295.576
2.750,3363,295.576
2.800,3363,295.576
2.850,3363,295.576
2.903,3363,295.576
2.950,3363,295.576
3.000,3363,295.576
3.050,3363,295.576
3.100,3363,295.576
3.150,3363,295.576
3.200,3363,295.576
3.250,3363,295.576
3.300,3363,295.576
3.350,3362,295.488
3.400,3362,295.488
3.450,3362,295.488
3.500,3362,295.488
3.550,3363,295.576
3.600,3363,295.576
3.650,3363,295.576
3.700,3363,295.576
3.750,3362,295.488
3.800,3362,295.488
3.850,3363,295.576
3.900,3363,295.576
3.950,3363,295.576
4.000,3363,295.576
4.050,3363,295.576
4.100,3363,295.576
4.150,3363,295.576
4.200,3363,295.576
4.250,3363,295.576
4.300,3363,295.576
4.350,3362,295.488
4.400,3362,295.488
4.450,3363,295.576
4.500,3363,295.576
4.550,3363,295.576
4.600,3363,295.576
4.650,3363,295.576
4.700,3363,295.576
4.750,3363,295.576
4.800,3363,295.576
4.850,3362,295.488
4.900,3362,295.488
4.950,3363,295.576
5.000,3363,295.576
5.050,3363,295.576
5.100,3363,295.576
5.150,3363,295.576
5.200,3363,295.576
5.250,3363,295.576
5.300,3363,295.576
5.350,3362,295.488
5.400,3362,295.488
5.450,3363,295.576
5.500,3363,295.576
5.550,3363,295.576
5.600,3363,295.576
5.650,3362,295.488
5.700,3362,295.488
5.750,3362,295.488
5.800,3362,295.488
5.850,3363,295.576
5.900,3363,295.576
5.950,3362,295.488
6.000,3362,295.488
6.050,3363,295.576
6.100,3363,295.576
6.150,3363,295.576
6.200,3363,295.576
6.250,3363,295.576
6.300,3363,295.576
6.350,3363,295.576
6.400,3363,295.576
6.450,3363,295.576
6.500,3363,295.576
6.550,3362,295.488
6.600,3362,295.488
6.650,3363,295.576
6.700,3363,295.576
6.750,3362,295.488
6.800,3362,295.488
6.850,3363,295.576
6.900,3363,295.576
6.950,3363,295.576
7.000,3363,295.576
7.050,3363,295.576
7.100,3363,295.576
7.150,3363,295.576
7.200,3363,295.576
7.250,3362,295.488
7.300,3362,295.488
7.350,3362,295.488
7.400,3362,295.488
7.450,3363,295.576
7.500,3363,295.576
7.550,3363,295.576
7.600,3363,295.576
7.650,3362,295.488
7.700,3362,295.488
7.750,3362,295.488
7.800,3362,295.488
7.850,3362,295.488
7.900,3362,295.488
7.950,3362,295.488
8.000,3362,295.488
8.050,3363,295.576
8.100,3363,295.576
8.150,3363,295.576
8.200,3363,295.576
8.250,3363,295.576
8.300,3363,295.576
8.350,3362,295.488
8.400,3362,295.488
8.450,3363,295.576
8.500,3363,295.576
8.550,3362,295.488
8.600,3362,295.488
8.650,3363,295.576
8.700,3363,295.576
8.750,3362,295.488
8.800,3362,295.488
8.850,3363,295.576
8.900,3363,295.576
8.950,3363,295.576
9.000,3363,295.576
9.050,3363,295.576
9.100,3363,295.576
9.150,3363,295.576
9.200,3363,295.576
9.250,3363,295.576
9.300,3363,295.576
9.350,3363,295.576
9.400,3363,295.576
9.450,3363,295.576
9.500,3363,295.576
9.550,3363,295.576
9.600,3363,295.576
9.650,3363,295.576
9.700,3363,295.576
9.750,3363,295.576
9.800,3363,295.576
9.850,3363,295.576
9.900,3363,295.576
9.950,3363,295.576
10.000,3363,295.576
10.050,3363,295.576
10.100,3363,295.576
10.150,3363,295.576
10.200,3363,295.576
10.250,3362,295.488
10.300,3362,295.488
10.350,3363,295.576
10.400,3363,295.576
10.450,3363,295.576
10.500,3363,295.576
10.550,3363,295.576
10.600,3363,295.576
10.650,3363,295.576
10.700,3363,295.576
10.750,3363,295.576
10.800,3363,295.576
10.850,3363,295.576
10.900,3363,295.576
10.950,3363,295.576
11.000,3363,295.576
11.050,3362,295.488
11.100,3362,295.488
11.150,3363,295.576
11.200,3363,295.576
11.250,3362,295.488
11.300,3362,295.488
11.350,3362,295.488
11.400,3362,295.488
11.450,3363,295.576
11.500,3363,295.576
11.550,3363,295.576
11.600,3363,295.576
11.650,3362,295.488
11.700,3362,295.488
11.750,3362,295.488
11.800,3362,295.488
11.850,3363,295.576
11.900,3363,295.576
11.950,3363,295.576
12.000,3363,295.576
12.050,3363,295.576
12.100,3363,295.576
12.150,3363,295.576
12.200,3363,295.576
12.250,3364,295.664
12.300,3364,295.664
12.350,3364,295.664
12.400,3364,295.664
12.450,3365,295.752
12.500,3365,295.752
12.550,3397,298.564
12.600,3397,298.564
12.650,3461,304.189
